DATE,vwretd
20030131,-0.023367

20030228,-0.015417

20030331,0.010321

20030430,0.082768

20030530,0.063471

20030630,0.016346

20030731,0.023112

20030829,0.024965

20030930,-0.00912

20031031,0.060361

20031128,0.016594

20031231,0.045476

20040130,0.023042

20040227,0.015443

20040331,-0.010662

20040430,-0.024222

20040528,0.014068

20040630,0.021611

20040730,-0.037698

20040831,0.002703

20040930,0.020556

20041029,0.017806

20041130,0.048214

20041231,0.03517

20050131,-0.026546

20050228,0.022646

20050331,-0.016944

20050429,-0.025206

20050531,0.037954

20050630,0.011529

20050729,0.043358

20050831,-0.005958

20050930,0.0106

20051031,-0.020866

20051130,0.040326

20051230,0.003456

20060131,0.040072

20060228,-0.001639

20060331,0.019065

20060428,0.013

20060531,-0.031032

20060630,-0.000391

20060731,-0.001912

20060831,0.025041

20060929,0.019428

20061031,0.037153

20061130,0.023736

20061229,0.010857

20070131,0.019387

20070228,-0.014006

20070330,0.012954

20070430,0.039834

20070531,0.038953

20070629,-0.014747

20070731,-0.03179

20070831,0.011593

20070928,0.040822

20071031,0.02591

20071130,-0.049362

20071231,-0.004405

20080131,-0.062218

20080229,-0.021697

20080331,-0.010444

20080430,0.051199

20080530,0.023935

20080630,-0.078436

20080731,-0.013413

20080829,0.010597

20080930,-0.098172

20081031,-0.184838

20081128,-0.084686

20081231,0.022231

20090130,-0.077475

20090227,-0.100175

20090331,0.086813

20090430,0.109483

20090529,0.067797

20090630,-0.00302

20090731,0.081792

20090831,0.031514

20090930,0.045288

20091030,-0.028079

20091130,0.057086

20091231,0.028486

20100129,-0.037186

20100226,0.034754

20100331,0.063688

20100430,0.020039

20100528,-0.079267

20100630,-0.050802

20100730,0.070384

20100831,-0.042887

20100930,0.091669

20101029,0.038606

20101130,0.005121

20101231,0.067213

20110131,0.01919

20110228,0.038168

20110331,0.003343

20110429,0.028602

20110531,-0.014958

20110630,-0.018453

20110729,-0.02255

20110831,-0.057597

20110930,-0.08503

20111031,0.114215

20111130,-0.006273

20111230,0.003671

20120131,0.05414

20120229,0.041253

20120330,0.024039

20120430,-0.00684

20120531,-0.065641

20120629,0.038181

20120731,0.010306

20120831,0.026337

20120928,0.026532

20121031,-0.014064

20121130,0.006219

20121231,0.01258

20130131,0.054189

20130228,0.008284

20130328,0.03532

20130430,0.014942

20130531,0.019155

20130628,-0.015071

20130731,0.05269

20130830,-0.025761

20130930,0.037514

20131031,0.039908

20131129,0.024973

20131231,0.02616

20140131,-0.030047

20140228,0.046225

20140331,0.004544

20140430,0.001569

20140530,0.02026

20140630,0.027991

20140731,-0.020568

20140829,0.040226

20140930,-0.025208

20141031,0.021172

20141128,0.021114

20141231,-0.003661

20150130,-0.027207

20150227,0.055999

20150331,-0.01041

20150430,0.008776

20150529,0.010269

20150630,-0.019272

20150731,0.012063

20150831,-0.059979

20150930,-0.033831

20151030,0.07404

20151130,0.002426

20151231,-0.022288

20160129,-0.05718

20160229,0.000604

20160331,0.070581

20160429,0.011737

20160531,0.014269

20160630,0.002926

20160729,0.038846

20160831,0.0028

20160930,0.00302

20161031,-0.021586

20161130,0.040546

20161230,0.018768

20170131,0.022177

20170228,0.032632

20170331,0.002095

20170428,0.009628

20170531,0.009303

20170630,0.009551

20170731,0.020309

20170831,0.001575

20170929,0.023777

20171031,0.019277

20171130,0.027252

20171229,0.012153

20180131,0.050627

20180228,-0.039511

20180329,-0.018454

20180430,0.00471

20180531,0.026175

20180629,0.005363

20180731,0.031603

20180831,0.030204

20180928,0.000432

20181031,-0.074076

20181130,0.018489

20181231,-0.089889

20190131,0.088295

20190228,0.032724

20190329,0.012964

20190430,0.037889

20190531,-0.061679

20190628,0.067279

20190731,0.011854

20190830,-0.020339

20190930,0.016033

20191031,0.019256

20191129,0.034997

20191231,0.028491

20200131,-0.001728

